,property_id,address,street_name,city,rstate,postcode,price,zestimate,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,property_type,property_status,agency_name
702,189975964,"352R Blue Hill Ave #10, Boston, MA 02121",Blue Hill Ave #10,Boston,MA,2121,449900,456500,3,2,407,1104,1306.8,CONDO,FOR_SALE,Dejahn Renrick
703,333606848,"304-306 Cummins Hwy #1, Boston, MA 02131",306 Cummins Hwy #1,Boston,MA,2131,450000,461800,2,1,443,1015,1015.0,CONDO,FOR_SALE,Unlimited Sotheby's International Realty
708,2146690846,"39 Old Morton St #2, Boston, MA 02126",Old Morton St #2,Boston,MA,2126,719800,719800,2,4,492,1463,7840.8,CONDO,FOR_SALE,Pena Realty Corporation
711,118324465,"4 Woodworth St #1, Boston, MA 02122",Woodworth St #1,Boston,MA,2122,669000,669000,2,3,375,1784,1784.0,CONDO,FOR_SALE,"The Galvin Group, LLC"
712,59109510,"84 Everdean St, Boston, MA 02122",Everdean St,Boston,MA,2122,895000,889200,3,2,801,1116,3600.0,SINGLE_FAMILY,FOR_SALE,William Raveis R.E. & Home Services
718,189938322,"121 Beach St #102, Boston, MA 02111",Beach St #102,Boston,MA,2111,850000,850002,1,2,633,1341,1306.0,CONDO,PENDING,Engel & Volkers Boston
719,67715620,"1 Charles St #1205, Boston, MA 02116",Charles St #1205,Boston,MA,2116,1200000,1183100,2,2,1123,1068,871.0,CONDO,PENDING,Keller Williams Realty Cambridge
722,59179021,"386 Commonwealth Ave APT 23, Boston, MA 02215",Commonwealth Ave APT 23,Boston,MA,2215,690000,745300,2,1,890,775,871.0,CONDO,FOR_SALE,Coldwell Banker Realty - South End
723,59212026,"34 Fayette St #1, Boston, MA 02116",Fayette St #1,Boston,MA,2116,1449900,1430400,3,3,947,1531,1496.0,CONDO,PENDING,McCormack & Scanlan Real Estate
725,59183569,"34 Worcester Sq APT 1, Boston, MA 02118",Worcester Sq APT 1,Boston,MA,2118,1929000,1909800,3,3,871,2213,2400.0,CONDO,PENDING,"Longwood Residential, LLC"
726,59174573,"55 Commercial Wharf APT 4, Boston, MA 02110",Commercial Wharf APT 4,Boston,MA,2110,1150000,1144600,2,1,884,1300,1306.0,CONDO,PENDING,Donnelly + Co.
731,59188434,"1682 Washington St APT 9, Boston, MA 02118",Washington St APT 9,Boston,MA,2118,1100000,1099100,2,2,705,1559,1742.0,CONDO,PENDING,"Luxury Residential Group, LLC"
732,90138053,"285 Columbus Ave UNIT 601, Boston, MA 02116",Columbus Ave UNIT 601,Boston,MA,2116,950000,949600,1,1,1109,856,871.0,CONDO,PENDING,Advisors Living - Back Bay
743,59174916,"9 Chestnut St, Boston, MA 02108",Chestnut St,Boston,MA,2108,7695000,7287700,4,6,1445,5322,1742.0,SINGLE_FAMILY,PENDING,Broad Street Boutique Realty LLC
746,81857945,"80 Broad St UNIT 606, Boston, MA 02110",Broad St UNIT 606,Boston,MA,2110,735000,721100,1,1,967,760,871.0,CONDO,PENDING,"Carpenter and Company, Inc."
747,90136786,"285 Columbus Ave UNIT 803, Boston, MA 02116",Columbus Ave UNIT 803,Boston,MA,2116,1450000,1412800,2,2,1434,1011,871.0,CONDO,PENDING,Boston Realty Net
748,59173636,"66 Revere St, Boston, MA 02114",Revere St,Boston,MA,2114,2395000,2350100,3,4,912,2625,435.0,SINGLE_FAMILY,PENDING,Redfin Corp.
758,63042601,"360 Marlborough St #3, Boston, MA 02115",Marlborough St #3,Boston,MA,2115,2349000,2262100,2,3,1606,1462,1452.0,CONDO,PENDING,Keller Williams Realty Boston-Metro | Back Bay
759,71546584,"3 Avery St UNIT 601, Boston, MA 02111",Avery St UNIT 601,Boston,MA,2111,919000,898600,2,2,629,1460,1460.0,CONDO,PENDING,Unlimited Sotheby's International Realty
767,59168275,"62 Queensberry St APT 206, Boston, MA 02215",Queensberry St APT 206,Boston,MA,2215,340451,338300,1,1,529,643,435.0,CONDO,PENDING,Redfin Corp.
769,2114957263,"222 Calumet St, Boston, MA 02120",Calumet St,Boston,MA,2120,1887500,1683500,8,4,824,2288,4367.0,MULTI_FAMILY,FOR_SALE,"Luxury Residential Group, LLC"
771,59161881,"151 Townsend St, Boston, MA 02121",Townsend St,Boston,MA,2121,780000,786300,8,3,140,5542,7840.0,MULTI_FAMILY,PENDING,Compass
